,@id,prefLabel,udunits
152,http://vocab.nerc.ac.uk/collection/P06/current/DEGE/,Degrees east,degree_east
153,http://vocab.nerc.ac.uk/collection/P06/current/UNPI/,Nanograms,ng
154,http://vocab.nerc.ac.uk/collection/P06/current/UPPB/,Parts per billion,parts billion-1
155,http://vocab.nerc.ac.uk/collection/P06/current/UMCU/,Cubic micrometres (microns),um3
156,http://vocab.nerc.ac.uk/collection/P06/current/KMTX/,Kelvin metres,degree_K m
157,http://vocab.nerc.ac.uk/collection/P06/current/CMCM/,Cubic millimetres per cubic metre,cubic mm m-3
158,http://vocab.nerc.ac.uk/collection/P06/current/PWAV/,Picowatts per square centimetre per litre,pW cm-2 l-1
159,http://vocab.nerc.ac.uk/collection/P06/current/UPMS/,Number per square metre,number m-2
160,http://vocab.nerc.ac.uk/collection/P06/current/UMKS/,10^-8 * Cubic metres per kilogram,1.0E-8 Cubic m kg-1
161,http://vocab.nerc.ac.uk/collection/P06/current/VVCC/,Cubic centimetres,cm3
162,http://vocab.nerc.ac.uk/collection/P06/current/WM2M/,Watts per square metre per metre,W m-2 m-1
163,http://vocab.nerc.ac.uk/collection/P06/current/KGPS/,Kilogram per second,kg s-1
164,http://vocab.nerc.ac.uk/collection/P06/current/UMHZ/,Square metres per Hertz,m2 Hz-1
165,http://vocab.nerc.ac.uk/collection/P06/current/PASX/,Pascals,Pa
166,http://vocab.nerc.ac.uk/collection/P06/current/SQM2/,Square metres per second squared,m2 s-2
167,http://vocab.nerc.ac.uk/collection/P06/current/UPDS/,Percentage of dry sediment,%age of dry sediment
168,http://vocab.nerc.ac.uk/collection/P06/current/UCKA/,Centimetres per thousand years,cm 1000-1 year
169,http://vocab.nerc.ac.uk/collection/P06/current/MCS2/,Cubic metres per second squared,m3 s-2
170,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,Volts,V
171,http://vocab.nerc.ac.uk/collection/P06/current/NCUM/,Newtons per cubic metre,N m-3
172,http://vocab.nerc.ac.uk/collection/P06/current/USEC/,Microseconds,us
173,http://vocab.nerc.ac.uk/collection/P06/current/MBQM/,Millibecquerels per cubic metre,mBq m-3
174,http://vocab.nerc.ac.uk/collection/P06/current/MMOM/,Millimoles per mole,mmol mol-1
175,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,Kilograms,kg
176,http://vocab.nerc.ac.uk/collection/P06/current/UPBB/,Millibars,mbar
177,http://vocab.nerc.ac.uk/collection/P06/current/NMCH/,Nanomoles per cubic centimetre per hour,nmol cm-3 hour-1
178,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,Millimoles per cubic metre,mmol m-3
179,http://vocab.nerc.ac.uk/collection/P06/current/UGLH/,Milligrams per cubic metre per hour,mg m-3 hour-1
180,http://vocab.nerc.ac.uk/collection/P06/current/PMSC/,per millisecond,ms-1
181,http://vocab.nerc.ac.uk/collection/P06/current/MMPL/,Millimoles per litre,mmol l-1
182,http://vocab.nerc.ac.uk/collection/P06/current/KMTS/,Kelvin metres per second,degree_K m s-1
183,http://vocab.nerc.ac.uk/collection/P06/current/M2SR/,Moles per square metre per second per metre per steradian,mol m-2 s-1 m-1 sr-1
184,http://vocab.nerc.ac.uk/collection/P06/current/KGS2/,Kilograms squared per second squared,kg2 s-2
185,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Watts per square metre per nanometre,W m-2 nm-1
186,http://vocab.nerc.ac.uk/collection/P06/current/XGCC/,Micrograms per cubic centimetre,ug cm-3
187,http://vocab.nerc.ac.uk/collection/P06/current/KGPM/,Picomoles per kilogram,pmol kg-1
188,http://vocab.nerc.ac.uk/collection/P06/current/BQ11/,Becquerels,Bq
189,http://vocab.nerc.ac.uk/collection/P06/current/UVAY/,Number per square centimetre per thousand years,number cm-2 1000-1 year
190,http://vocab.nerc.ac.uk/collection/P06/current/UWNS/,Watts per square metre per nanometre per steradian,W m-2 nm-1 sr-1
191,http://vocab.nerc.ac.uk/collection/P06/current/UMUB/,Micromole per micromole of biomass per day,umol umol-1 of biomass day-1
192,http://vocab.nerc.ac.uk/collection/P06/current/MLM3/,Moles per cubic metre,mol m-3
